Type,Timestamp/ms,X,Y,Z
1,0,1.6281738,4.8113556,8.439682
9,0,1.6742345,4.8572607,8.353104
1,60,1.7335205,4.78981,8.102097
1,120,1.688034,4.781021,8.287247
1,180,1.545166,4.8616333,8.431702
9,180,1.6855427,4.8580246,8.350385
1,240,1.7782135,4.7650604,8.079758
1,300,1.6664886,4.796982,8.374237
1,360,1.5858765,4.86882,8.319977
9,360,1.6878089,4.8657217,8.345445
1,419,1.7917786,4.757889,8.06459
1,485,1.5930634,4.8352966,8.505112
1,539,1.6784515,4.831314,8.209045
1,599,1.723938,4.785019,8.129242
9,599,1.6757485,4.8646417,8.348504
1,659,1.545166,4.8664246,8.595306
1,719,1.7415009,4.7802277,8.113266
9,779,1.6676725,4.8578095,8.354097
1,779,1.6576996,4.801773,8.289642
1,839,1.6034393,4.864029,8.480377
1,899,1.7470856,4.7890167,8.084534
1,960,1.5986481,4.8289185,8.406952
9,961,1.6708424,4.857373,8.353718
1,1021,1.6489258,4.843277,8.362274
1,1080,1.8931274,4.716385,8.017502
1,1140,1.4190826,4.8991394,8.648773
1,1200,1.5930481,4.8408813,8.201065
9,1201,1.6747062,4.8607965,8.350952
1,1259,1.7462921,4.7706604,8.147583
1,1321,1.5220337,4.86882,8.608078
1,1380,1.6465302,4.8384857,8.152374
9,1380,1.6468217,4.8702526,8.350988
1,1440,1.7111664,4.7937927,8.193085
1,1500,1.5395813,4.883972,8.547424
9,1560,1.6402133,4.8717437,8.351419
1,1561,1.7271271,4.812149,8.082138
1,1622,1.6385498,4.831299,8.359085
1,1679,1.6185913,4.8768005,8.411743
1,1739,1.7079773,4.820923,8.069382
9,1800,1.6460983,4.8734145,8.349285
1,1800,1.5946503,4.8616333,8.449249
1,1859,1.6425323,4.867218,8.281662
1,1918,1.6944122,4.8145447,8.150772
9,1979,1.6551528,4.869685,8.349671
1,1979,1.6377563,4.834488,8.508316
1,2038,1.6385498,4.865616,8.200256
1,2099,1.6800385,4.8217316,8.242569
1,2159,1.6122131,4.83609,8.466019
9,2160,1.6559304,4.874426,8.346751
1,2217,1.689621,4.852844,8.095718
1,2277,1.6760559,4.8049774,8.394989
1,2339,1.5938568,4.870407,8.380615
1,2397,1.69841,4.846466,8.085342
9,2398,1.6660626,4.8818674,8.340384
1,2457,1.6313629,4.8384857,8.41893
1,2517,1.6265717,4.8728027,8.325562
1,2578,1.7470856,4.8273163,8.086929
9,2580,1.6553931,4.8848,8.340791
1,2640,1.5771027,4.8720093,8.528259
1,2697,1.7670288,4.8456726,8.191483
9,2758,1.6546727,4.899723,8.332176
1,2758,1.5898743,4.8799744,8.202652
1,2818,1.5619354,4.9270782,8.416534
1,2877,1.6968079,4.8919525,8.1332245
1,2938,1.6800537,4.8616333,8.254532
1,2997,1.5515594,4.965378,8.394196
9,2999,1.6580331,4.9230766,8.31773
1,3057,1.7646484,4.8768005,8.042236
1,3123,1.6832428,4.8680115,8.387802
1,3177,1.5858765,4.963791,8.269699
9,3181,1.6697651,4.938823,8.30604
1,3238,1.7175598,4.8823853,8.070969
1,3297,1.6193848,4.908722,8.480377
1,3357,1.6720734,4.9430237,8.156372
9,3359,1.6754063,4.944526,8.30151
1,3417,1.7391052,4.880783,8.1332245
1,3478,1.6537018,4.9214783,8.44606
1,3537,1.6473236,4.947815,8.0781555
9,3597,1.6742846,4.94663,8.300483
1,3598,1.7071838,4.886368,8.189087
1,3656,1.6082306,4.963791,8.453247
1,3720,1.7167664,4.9151,8.018295
9,3776,1.6648836,4.946176,8.302643
1,3776,1.7311249,4.8871765,8.334335
1,3837,1.5260162,4.9438324,8.382217
1,3897,1.7143555,4.9270782,7.9991455
9,3957,1.6571302,4.9514318,8.301062
1,3958,1.6233826,4.911911,8.458832
1,4016,1.6744537,4.9143066,8.197861
1,4076,1.7319336,4.9302673,8.045441
1,4135,1.5411835,4.9470215,8.520279
1,4196,1.6696777,4.9302673,8.061401
9,4199,1.6611792,4.9688935,8.289812
